OTU	kingdom	phylum	class	order	family	genus	species	n	score	SH_species	SH_gb_acc	SH_sh_acc	SH_type	identity	coverage	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource	unite_db_version	date_assigned
ITSall_OTUa_4576	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	NA	NA	2	1	Antennariella_placitae	GQ303268	SH1549163.08FU	refs	0.931506849315068	0.952054794520548	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	Most species are apparently saprobic, usually on insect exudates on leaves and branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_495	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Terramycetaceae	NA	NA	3	0.75	Terramyces_sp	DQ485656	SH1511113.08FU	reps	1	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_4978	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	NA	NA	2	0.666666666666667	Fungi_sp	MF976562	SH1231672.08FU	reps_singleton	0.975903614457831	1	Pathotroph-Symbiotroph	Epiphyte-Plant Pathogen	Possible	Microfungus	NULL	Epiphytic or biotrophic on living leaves, very little is known (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	NA	NA	28	1	Clavulina_sp	EF634120	SH1546109.08FU	reps	0.946280991735537	0.995867768595041	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_511	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA	2	1	Septoriella_sp	MN653268	SH1525258.08FU	reps	0.935897435897436	0.987179487179487	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5114	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	NA	NA	1	1	Capnodiales_sp	HQ634618	SH1549158.08FU	reps	0.951388888888889	0.958333333333333	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	Most species are apparently saprobic, usually on insect exudates on leaves and branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5115	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	NA	NA	3	0.75	Teichospora_austroafricana	HQ428123	SH1177621.08FU	reps_singleton	0.891891891891892	0.945945945945946	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic in plant material (Jaklitsch et al. 2016)	Jaklitsch WM,et al. 2016. Mycological Progress 15:e31 ((https://doi.org/10.1007/s11557-016-1171-2))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5165	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	NA	NA	11	1	Entoloma_platyphylloides	JF908007	SH1569116.08FU	reps	0.94	0.99	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph	Possible	Agaricoid	NULL	Saprobic or ectomycorrhizal, in both broadleaved and coniferous forests; a few species associated with other substrata such as dung and mosses (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5173	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Tetragoniomycetaceae	NA	NA	1	1	Cryptotrichosporon_tibetense	KP020116	SH1616929.08FU	reps	0.903030303030303	0.987878787878788	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5332	Fungi	Ascomycota	Dothideomycetes	Neocelosporiales	Neocelosporiaceae	NA	NA	1	1	Neocelosporium_eucalypti	MK047452	SH2593159.08FU	reps_singleton	0.94375	0.99375	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5359	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	NA	NA	2	1	Ascomycota_sp	MT557197	SH1648790.08FU	reps	0.966216216216216	0.993243243243243	Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Probable	Microfungus	NULL	Usually saprobic on herbaceous or woody tissues, some species fungicolous. A few species are known to form mycorrhizae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5449	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	NA	NA	3	1	Ascomycota_sp	MH793569	SH1649913.08FU	reps	0.948051948051948	0.974025974025974	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	Probable	NULL	NULL	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6005	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	NA	NA	7	1	Coprinopsis_villosa	HQ847031	SH1566160.08FU	refs	0.935	0.99	Saprotroph	Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Probable	Agaricoid	NULL	Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6016	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA	5	1	Cladophialophora_sp	KC626049	SH1529683.08FU	reps	0.908571428571429	0.977142857142857	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6070	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA	20	1	Curvularia_inaequalis	HE861822	SH1526407.08FU	refs	0.933734939759036	0.957831325301205	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6096	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	NA	NA	14	0.875	Kabatiella_bupleuri	JN886792	SH1674926.08FU	refs	0.949367088607595	0.974683544303797	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6135	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	NA	NA	29	0.852941176470588	Diaporthe_sp	UDB0759173	SH1540732.08FU	reps	0.941935483870968	0.993548387096774	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Most species are weak pathogens or endophytes in leaf or stem tissue, growing saprobically after the plant dies (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6261	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	NA	NA	3	1	Sympoventuriaceae_sp	MK810920	SH1514004.08FU	reps	0.896103896103896	0.909090909090909	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6349	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA	5	1	Fungi_sp	KU931419	SH1151595.08FU	reps_singleton	0.99375	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6371	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	NA	NA	3	1	Russula_allochroa	MT644614	SH3567545.08FU	reps_singleton	0.929961089494163	0.98443579766537	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_639	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	NA	NA	1	1	Tubeufia_fangchengensis	MH558783	SH2593951.08FU	reps_singleton	0.845161290322581	0.890322580645161	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Biotrophic or saprobic, especially on scale insects or other fungi. The anamorphic forms are fequently aero-aquatic (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6399	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	NA	NA	1	1	Sporidesmium_sp	MH036004	SH1152177.08FU	reps_singleton	0.927631578947368	0.986842105263158	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6470	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	NA	NA	3	0.6	Dothideomycetes_sp	KX908469	SH1214117.08FU	reps_singleton	0.980392156862745	0.993464052287582	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic or necrotrophic on herbaceous and woody stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6681	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	NA	NA	2	1	Fusicladium_intermedium	MK810907	SH1518139.08FU	reps	0.925170068027211	0.925170068027211	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_681	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	NA	NA	7	1	Conlarium_sp	MT586318	SH3568908.08FU	reps_singleton	0.94375	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6857	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	NA	NA	3	0.6	Ascomycota_sp	MK018706	SH2705755.08FU	reps	0.929936305732484	0.980891719745223	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_687	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	NA	NA	1	1	Venturiales_sp	AB986478	SH1151086.08FU	reps_singleton	0.917098445595855	0.968911917098446	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6967	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA	1	1	Phaeosphaeria_sp	UDB0300137	SH1525123.08FU	reps	0.923566878980892	0.961783439490446	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_698	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	NA	NA	2	1	Mortierella_sp	MF423580	SH1554360.08FU	reps	0.941634241245136	0.996108949416342	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Possible	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7081	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA	1	1	Herpotrichiellaceae_sp	EF373584	SH1507107.08FU	reps	0.880503144654088	0.924528301886792	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7185	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA	3	0.75	Cladophialophora_sp	KM056295	SH1160305.08FU	reps_singleton	0.926136363636364	0.988636363636364	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_732	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	NA	NA	2	1	Conlarium_sp	MT586318	SH3568908.08FU	reps_singleton	0.932515337423313	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7322	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	NA	NA	7	1	Thelephoraceae_sp	JX625359	SH1502583.08FU	reps	0.928251121076233	0.986547085201794	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Probable	Clavarioid	NULL	On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7429	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	NA	NA	6	1	Rhytismataceae_sp	GU138737	SH1521068.08FU	reps	0.965753424657534	0.993150684931507	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Leaf Saprotroph-Plant Pathogen	Probable	Microfungus	NULL	Biotrophic, necrotrophic or saprobic on leaves and bark, often initially as endophytes, causing tar spots, premature leaf fall and occasionally witches broom symptoms (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7505	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	NA	NA	2	0.666666666666667	Nigrograna_sp	JX998689	SH1645915.08FU	reps	0.945205479452055	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7640	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA	4	1	Rhinocladiella_sp	UDB0622523	SH1632800.08FU	reps	0.912790697674419	0.976744186046512	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7660	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	NA	NA	13	1	Russula_sp	MN130081	SH3591340.08FU	reps	0.935897435897436	0.982905982905983	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7940	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA	1	1	Preussia_sp	KP117290	SH1541750.08FU	reps	0.903225806451613	0.954838709677419	Saprotroph	Dung Saprotroph-Plant Saprotroph	Probable	Microfungus	NULL	Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8296	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	NA	NA	14	1	Xylodon_asperus	UDB069162	SH1517831.08FU	reps	0.945652173913043	0.994565217391304	Saprotroph	Wood Saprotroph	Probable	Corticioid	White Rot	Saprobic, causing white rot of standing and fallen wood of coniferous and broadleaved trees, rarely on herbaceous stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_830	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	NA	NA	17	0.894736842105263	Mycena_abramsii	LC013372	SH1542342.08FU	reps	0.976635514018692	0.985981308411215	Pathotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite	Probable	Agaricoid	NULL	Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp.	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8338	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	NA	NA	1	1	Vishniacozyma_sp	MN450772	SH3591149.08FU	reps	0.91025641025641	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8496	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Myriangiaceae	NA	NA	2	1	Myriangium_duriaei	MH855793	SH2592202.08FU	reps_singleton	0.940789473684211	0.986842105263158	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8587	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	NA	NA	6	0.75	Tricholomataceae_sp	HF675337	SH1552966.08FU	reps	0.954314720812183	0.99492385786802	Pathotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite	Probable	Agaricoid	NULL	Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp.	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8616	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	NA	NA	1	1	Helotiales_sp	KP963663	SH1565412.08FU	reps	0.900662251655629	0.960264900662252	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8677	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Microsporomycetaceae	NA	NA	1	1	Microsporomyces_orientalis	HM559719	SH1515398.08FU	refs	0.91705069124424	0.995391705069124	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8736	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	NA	NA	5	1	Coprinopsis_sp	MK843961	SH1566219.08FU	reps	0.923444976076555	0.956937799043062	Saprotroph	Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Probable	Agaricoid	NULL	Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_897	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	NA	NA	1	1	Fungi_sp	UDB0223319	SH1546835.08FU	reps	0.956521739130435	0.995169082125604	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8986	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	NA	NA	7	1	Exobasidium_pentasporium	AB180335	SH1514450.08FU	reps	0.935960591133005	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_9178	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	NA	NA	1	1	Bulleribasidiaceae_sp	JX999048	SH1242244.08FU	reps_singleton	0.991735537190083	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_9191	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	NA	NA	27	0.771428571428571	Pleosporales_sp	MH465396	SH1525474.08FU	reps	0.947712418300654	0.993464052287582	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_9574	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	NA	NA	30	0.909090909090909	Peniophoraceae_sp	GQ999286	SH1646429.08FU	reps	0.932642487046632	0.963730569948187	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Corticioid	White Rot	Most species are saprobic, causing rots of standing and fallen wood. Many species are adapted to xeric conditions, being able to grow on rapidly drying dead attached branches (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_9640	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA	31	0.911764705882353	Ascomycota_sp	EU489942	SH1157114.08FU	reps_singleton	0.993464052287582	1	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_985	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	NA	NA	1	1	Tylopilus_griseipurpureus	KM975484	SH1187267.08FU	reps_singleton	0.925795053003534	0.989399293286219	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Plant Saprotroph-Wood Saprotroph	Probable	Boletoid	NULL	Most species form ectomycorrhizal associations with gymnosperm or angiosperm trees. Some are saprobes on decaying wood and leaf litter, a few are parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUb_1221	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	NA	NA	1	1	Septobasidiaceae_sp	U65610	SH1149143.08FU	reps_singleton	0.928251121076233	0.973094170403587	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUb_1378	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	NA	NA	3	0.75	Fungi_sp	KT328641	SH1158588.08FU	reps_singleton	0.987096774193548	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
